"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-04-30","2001","04","30","","12.0","","-3.5","","4.3","","13.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-01","2001","05","01","","9.5","","-2.0","","3.8","","14.2","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-02","2001","05","02","","12.5","","-2.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-03","2001","05","03","","15.0","","0.0","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-04","2001","05","04","","15.0","","-2.0","","6.5","","11.5","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-05","2001","05","05","","11.0","","-1.0","","5.0","","13.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-06","2001","05","06","","12.5","","-1.0","","5.8","","12.2","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-07","2001","05","07","","17.0","","-5.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-08","2001","05","08","","11.0","","1.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-09","2001","05","09","","12.0","","-2.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-10","2001","05","10","","14.0","","-4.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-11","2001","05","11","","16.0","","-5.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-12","2001","05","12","","22.0","","-3.0","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-13","2001","05","13","","15.0","","9.0","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-14","2001","05","14","","16.5","","-1.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-15","2001","05","15","","16.0","","6.0","","11.0","","7.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-16","2001","05","16","","18.0","","-0.5","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-17","2001","05","17","","14.0","","-1.0","","6.5","","11.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-18","2001","05","18","","13.0","","-2.0","","5.5","","12.5","","0.0","","0.6","","0.0","T","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-19","2001","05","19","","7.0","","0.0","","3.5","","14.5","","0.0","","8.8","","0.0","T","8.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-20","2001","05","20","","15.5","","-2.0","","6.8","","11.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-21","2001","05","21","","18.0","","3.0","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-22","2001","05","22","","22.0","","0.5","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-23","2001","05","23","","23.5","","4.0","","13.8","","4.2","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-24","2001","05","24","","22.0","","8.0","","15.0","","3.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-25","2001","05","25","","21.5","","2.0","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-26","2001","05","26","","21.5","","6.5","","14.0","","4.0","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-27","2001","05","27","","23.5","","8.5","","16.0","","2.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-28","2001","05","28","","17.5","","7.5","","12.5","","5.5","","0.0","","24.2","","0.0","","24.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-29","2001","05","29","","6.5","","3.5","","5.0","","13.0","","0.0","","38.6","","0.0","","38.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-30","2001","05","30","","16.0","","2.5","","9.3","","8.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-05-31","2001","05","31","","20.0","","1.0","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-01","2001","06","01","","26.0","","13.0","","19.5","","0.0","","1.5","","3.4","","0.0","","3.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-02","2001","06","02","","16.5","","5.5","","11.0","","7.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-03","2001","06","03","","18.0","","6.0","","12.0","","6.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-04","2001","06","04","","19.0","","2.5","","10.8","","7.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-05","2001","06","05","","18.5","","10.0","","14.3","","3.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-06","2001","06","06","","14.0","","4.0","","9.0","","9.0","","0.0","","4.8","","0.0","","4.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-07","2001","06","07","","18.0","","6.0","","12.0","","6.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-08","2001","06","08","","21.5","","1.0","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-09","2001","06","09","","21.0","","4.0","","12.5","","5.5","","0.0","","22.0","","0.0","","22.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-10","2001","06","10","","14.0","","5.0","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-11","2001","06","11","","11.0","","1.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-12","2001","06","12","","18.5","","7.0","","12.8","","5.2","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-13","2001","06","13","","22.0","","2.0","","12.0","","6.0","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-14","2001","06","14","","16.0","","7.0","","11.5","","6.5","","0.0","","11.0","","0.0","","11.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-15","2001","06","15","","16.0","","7.0","","11.5","","6.5","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-16","2001","06","16","","15.0","","7.0","","11.0","","7.0","","0.0","","7.6","","0.0","","7.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-17","2001","06","17","","17.0","","4.0","","10.5","","7.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-18","2001","06","18","","22.0","","3.0","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-19","2001","06","19","","24.0","","7.0","","15.5","","2.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-20","2001","06","20","","24.0","","9.0","","16.5","","1.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-21","2001","06","21","","24.0","","7.0","","15.5","","2.5","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-22","2001","06","22","","20.0","","7.0","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-23","2001","06","23","","20.0","","4.0","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-24","2001","06","24","","12.0","E","4.0","","8.0","E","10.0","E","0.0","E","40.8","","0.0","","40.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-25","2001","06","25","","12.0","","6.0","","9.0","","9.0","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-26","2001","06","26","","16.0","","4.0","","10.0","","8.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-27","2001","06","27","","12.0","","5.0","","8.5","","9.5","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-28","2001","06","28","","17.0","E","9.0","","13.0","E","5.0","E","0.0","E","2.0","E","0.0","","2.0","E","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-29","2001","06","29","","16.0","E","7.5","E","11.8","E","6.2","E","0.0","E","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-06-30","2001","06","30","","21.0","E","8.0","E","14.5","E","3.5","E","0.0","E","1.0","E","0.0","","1.0","E","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-01","2001","07","01","","19.5","E","7.0","E","13.3","E","4.7","E","0.0","E","3.0","","0.0","","3.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-02","2001","07","02","","22.0","","5.0","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-03","2001","07","03","","24.5","","4.0","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-04","2001","07","04","","26.0","","8.0","","17.0","","1.0","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-05","2001","07","05","","18.0","","14.0","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-06","2001","07","06","","19.5","","6.0","","12.8","","5.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-07","2001","07","07","","19.5","","8.0","","13.8","","4.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-08","2001","07","08","","21.5","","3.0","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-09","2001","07","09","","27.5","","3.0","","15.3","","2.7","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-10","2001","07","10","","21.0","","9.0","","15.0","","3.0","","0.0","","18.2","","0.0","","18.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-11","2001","07","11","","20.0","","9.0","","14.5","","3.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-12","2001","07","12","","23.0","","2.0","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-13","2001","07","13","","26.0","","7.0","","16.5","","1.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-14","2001","07","14","","21.0","","10.0","","15.5","","2.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-15","2001","07","15","","16.5","","5.0","","10.8","","7.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-16","2001","07","16","","21.0","","6.5","","13.8","","4.2","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-17","2001","07","17","","18.0","","10.0","","14.0","","4.0","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-18","2001","07","18","","19.0","","9.0","","14.0","","4.0","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-19","2001","07","19","","17.0","","7.0","","12.0","","6.0","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-20","2001","07","20","","20.0","","12.0","","16.0","","2.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-21","2001","07","21","","21.0","","13.5","","17.3","","0.7","","0.0","","2.0","E","0.0","","2.0","E","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-22","2001","07","22","","23.0","","7.0","","15.0","","3.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-23","2001","07","23","","24.0","","7.0","","15.5","","2.5","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-24","2001","07","24","","18.0","","8.0","","13.0","","5.0","","0.0","","15.2","","0.0","","15.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-25","2001","07","25","","17.0","","10.0","","13.5","","4.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-26","2001","07","26","","21.0","","5.0","","13.0","","5.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-27","2001","07","27","","20.0","","5.0","","12.5","","5.5","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-28","2001","07","28","","17.0","E","5.0","","11.0","E","7.0","E","0.0","E","3.0","E","0.0","","3.0","E","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-29","2001","07","29","","21.0","","5.0","","13.0","","5.0","","0.0","","18.8","","0.0","","18.8","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-30","2001","07","30","","20.5","","7.0","","13.8","","4.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-07-31","2001","07","31","","22.0","","5.0","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-01","2001","08","01","","22.0","","6.0","","14.0","","4.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-02","2001","08","02","","21.0","","8.0","","14.5","","3.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-03","2001","08","03","","20.0","","5.0","","12.5","","5.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-04","2001","08","04","","18.0","E","10.0","","14.0","E","4.0","E","0.0","E","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-05","2001","08","05","","20.0","","5.0","","12.5","","5.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-06","2001","08","06","","21.0","","7.0","","14.0","","4.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-07","2001","08","07","","20.0","","10.0","","15.0","","3.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-08","2001","08","08","","21.0","","5.0","","13.0","","5.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-09","2001","08","09","","24.0","","4.0","","14.0","","4.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-10","2001","08","10","","25.0","","6.0","","15.5","","2.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-11","2001","08","11","","25.0","","7.0","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-12","2001","08","12","","27.0","","6.0","E","16.5","E","1.5","E","0.0","E","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-13","2001","08","13","","27.0","","7.0","","17.0","","1.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-14","2001","08","14","","25.0","","9.0","","17.0","","1.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-15","2001","08","15","","28.5","","7.0","","17.8","","0.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-16","2001","08","16","","28.5","","7.0","","17.8","","0.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-17","2001","08","17","","30.0","","7.5","","18.8","","0.0","","0.8","","8.4","","0.0","","8.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-18","2001","08","18","","23.0","","11.0","","17.0","","1.0","","0.0","","38.0","","0.0","","38.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-19","2001","08","19","","15.0","E","7.0","","11.0","E","7.0","E","0.0","E","8.2","","0.0","","8.2","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-20","2001","08","20","","17.0","","4.0","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-21","2001","08","21","","19.0","","1.5","","10.3","","7.7","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-22","2001","08","22","","20.5","","9.0","","14.8","","3.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-23","2001","08","23","","18.0","","10.0","","14.0","","4.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-24","2001","08","24","","16.0","","3.5","","9.8","","8.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-25","2001","08","25","","19.0","","3.0","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-26","2001","08","26","","22.0","","4.0","","13.0","","5.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-27","2001","08","27","","21.0","","4.0","","12.5","","5.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-28","2001","08","28","","19.0","","7.0","","13.0","","5.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-29","2001","08","29","","21.0","","2.5","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-08-30","2001","08","30","","24.0","","3.0","","13.5","","4.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
